OBJECTID;Codi estació;Carretera;PKI;PKF;Any IMD;Any càlcul;IMD;% Pesants;% Motos;Dies registrats;Nº lectures;IFA;IMD Feiners;IMD Dissabte;IMD Diumenge;Dia punta;Hora punta;Volum punta;Dia 30;Hora 30;Dia 50;Hora 50;Volum 50;Dia 100;Hora 100;Volum 100;Volum 30;Velocitat mitjana;Percentil 85;Volum pesants C1;Volum pesants C2;Volum motos C1;Volum motos C2;PKI Ref;PKI Offset;PKF Ref;PKF Offset
8122;EA00010;B-151;3+842;4+550;2023;2024;7783;4.39;1.71;9;2;75;8934;5286;3595;10/27/2023 2:00 a. m.;14;835;1/27/2023 1:00 a. m.;16;2/1/2023 1:00 a. m.;9;513;2/2/2023 1:00 a. m.;20;331;630;44;40_50;172;169;0;0;3;842;4;550
8123;EA00747;C-246a;39+300;41+000;2022;2024;8987;5.44;3.48;43;6;100;8998;8408;7318;5/11/2022 2:00 a. m.;9;950;3/11/2022 1:00 a. m.;11;9/15/2022 2:00 a. m.;17;768;9/17/2022 2:00 a. m.;13;714;803;52;60_70;274;215;0;0;39;300;41;0
8124;EA00567;C-243b;16+960;18+000;2024;2024;5626;19.04;3.14;14;2;100;6550;3387;2011;2/29/2024 1:00 a. m.;14;548;9/20/2024 2:00 a. m.;13;2/27/2024 1:00 a. m.;5;392;9/25/2024 2:00 a. m.;12;338;416;47;50_60;507;564;0;0;16;960;18;0
8125;EA00718;B-522;7+900;8+360;2024;2024;4424;5.41;0.83;14;2;100;4945;3410;2577;4/12/2024 2:00 a. m.;14;477;4/10/2024 2:00 a. m.;16;4/15/2024 2:00 a. m.;16;372;4/14/2024 2:00 a. m.;19;245;400;41;40_50;131;108;0;0;7;900;8;360
8126;EA00508;BV-5225;0+000;2+600;2024;2024;8783;5.07;1.47;14;2;100;9753;6615;5202;4/24/2024 2:00 a. m.;17;835;4/18/2024 2:00 a. m.;13;7/15/2024 2:00 a. m.;8;644;7/11/2024 2:00 a. m.;19;530;690;65;70_80;228;217;0;0;0;0;2;600
8127;EA00228;BV-2111;12+840;15+850;2023;2024;542;4.45;7.18;14;2;100;467;633;556;7/23/2023 2:00 a. m.;1;88;7/21/2023 2:00 a. m.;13;4/14/2023 2:00 a. m.;14;40;7/23/2023 2:00 a. m.;16;31;44;53;60_70;12;12;0;0;12;840;15;850
8128;EA00419;BV-5001;3+140;4+635;2024;2024;9484;5.6;7.04;14;2;100;9769;7365;5510;9/30/2024 2:00 a. m.;7;913;4/9/2024 2:00 a. m.;18;9/27/2024 2:00 a. m.;18;688;4/4/2024 2:00 a. m.;13;588;759;40;0_40;385;145;0;0;3;140;4;635
8129;EA00724;C-37z;75+000;84+600;2024;2024;67;4.02;22.75;15;2;100;45;70;69;11/2/2024 1:00 a. m.;11;24;11/2/2024 1:00 a. m.;13;4/11/2024 2:00 a. m.;17;7;11/5/2024 1:00 a. m.;13;4;9;50;60_70;1;1;0;0;75;0;84;600
8130;EA00277;BV-2171;14+070;15+670;2024;2024;481;7.9;4.95;14;2;100;495;435;291;9/28/2024 2:00 a. m.;17;72;6/4/2024 2:00 a. m.;9;6/7/2024 2:00 a. m.;16;39;6/5/2024 2:00 a. m.;11;30;42;57;70_80;23;15;0;0;14;70;15;670
8131;EA00182;BV-1432;0+000;0+960;2024;2024;12504;2.77;2.45;42;6;100;13165;10574;8981;5/17/2024 2:00 a. m.;14;1105;9/17/2024 2:00 a. m.;14;1/12/2024 1:00 a. m.;15;950;1/14/2024 1:00 a. m.;12;892;1003;41;0_40;168;178;0;0;0;0;0;960
8132;EA00125;BV-1123;4+675;7+000;2024;2024;903;2.57;8.35;18;2;100;818;832;870;10/20/2024 2:00 a. m.;13;153;5/26/2024 2:00 a. m.;9;10/19/2024 2:00 a. m.;19;75;5/26/2024 2:00 a. m.;20;64;79;64;70_80;18;5;0;0;4;675;7;0
8133;EA00585;N-141d;4+659;14+500;2024;2024;1130;1.93;5.4;14;2;100;808;1584;1862;2/4/2024 1:00 a. m.;11;410;2/3/2024 1:00 a. m.;9;2/1/2024 1:00 a. m.;15;78;10/21/2024 2:00 a. m.;11;57;96;65;70_80;16;5;0;0;4;659;14;500
8134;EA00264;BV-2152;0+000;1+507;2023;2024;175;2.08;2.37;16;2;100;173;163;167;9/27/2023 2:00 a. m.;18;34;9/26/2023 2:00 a. m.;17;9/28/2023 2:00 a. m.;21;19;3/18/2023 1:00 a. m.;23;10;22;48;50_60;1;2;0;0;0;0;1;507
